MY-IOS-App_Engagement,2015-10-19,2015-10-19,0.95,912,5,
MY-Android-App_Engagement,2015-11-04,2015-11-04,4.6,5061,95,2
ID-IOS-App_Engagement,2015-10-28,2015-10-28,30.42,12956,73,10
ID-IOS-App_Engagement,2015-10-29,2015-10-29,30.67,12904,66,7
SG-Android-App_Engagement,2015-10-22,2015-10-22,26.72,8611,145,1
SG-Android-App_Engagement,2015-10-21,2015-10-21,31.86,9741,160,4
SG-Android-App_Engagement,2015-10-23,2015-10-23,21.6,4499,91,2
SG-Android-App_Engagement,2015-10-24,2015-10-24,32.19,5692,87,4
SG-Android-App_Engagement,2015-10-27,2015-10-27,35,3874,103,2
SG-Android-App_Engagement,2015-10-26,2015-10-26,33.26,6168,97,7
SG-Android-App_Engagement,2015-10-25,2015-10-25,34.08,6952,99,3
SG-Android-App_Engagement,2015-10-20,2015-10-20,33.34,8564,162,3
SG-Android-App_Engagement,2015-10-19,2015-10-19,33.72,10349,148,5
VN-IOS-App_Engagement,2015-10-20,2015-10-20,0.03,254,2,1
VN-IOS-App_Engagement,2015-10-19,2015-10-19,0.02,287,2,
TH-Android-App_Engagement,2015-11-04,2015-11-04,0.3,1498,22,
VN-IOS-App_Engagement,2015-10-21,2015-10-21,0.04,237,1,
VN-IOS-App_Engagement,2015-10-22,2015-10-22,0.02,198,2,
VN-IOS-App_Engagement,2015-10-25,2015-10-25,0,8,0,
VN-IOS-App_Engagement,2015-10-24,2015-10-24,0,184,0,1
VN-IOS-App_Engagement,2015-10-23,2015-10-23,0,125,0,
SG-Android-App_Engagement,2015-10-28,2015-10-28,34.93,4599,121,9
SG-Android-App_Engagement,2015-10-29,2015-10-29,35,5955,129,8
TW-Android-Mobile_Installs,2015-10-25,2015-10-25,40.44,12377,212,49
TW-Android-Mobile_Installs,2015-10-24,2015-10-24,33.59,10260,171,36
TW-Android-Mobile_Installs,2015-10-23,2015-10-23,39.21,11169,161,31
TW-Android-Mobile_Installs,2015-10-26,2015-10-26,35.01,9535,193,38
TW-Android-Mobile_Installs,2015-10-27,2015-10-27,25.02,6140,154,18
TW-Android-Mobile_Installs,2015-10-30,2015-10-30,17.13,4214,79,15
TW-Android-Mobile_Installs,2015-10-29,2015-10-29,7.64,2059,43,6
TW-Android-Mobile_Installs,2015-10-28,2015-10-28,25.03,5962,148,22
TW-Android-Mobile_Installs,2015-10-22,2015-10-22,45.46,14522,240,56
TW-Android-Mobile_Installs,2015-10-21,2015-10-21,39.27,12940,225,56
SG-Android-App_Engagement,2015-11-01,2015-11-01,34.11,8418,128,6
SG-Android-App_Engagement,2015-10-31,2015-10-31,35,5873,132,3
SG-Android-App_Engagement,2015-10-30,2015-10-30,34.88,5847,119,1
SG-Android-App_Engagement,2015-11-02,2015-11-02,32.99,9418,175,4
SG-Android-App_Engagement,2015-11-03,2015-11-03,34.01,8057,181,4
TW-Android-Mobile_Installs,2015-10-20,2015-10-20,34.87,11315,234,56
TW-Android-Mobile_Installs,2015-10-19,2015-10-19,23.24,7156,144,25
SG-Android-App_Engagement,2015-11-04,2015-11-04,13.4,3385,76,3
TH-Android-App_Engagement,2015-11-03,2015-11-03,2.03,3562,84,2
TH-Android-App_Engagement,2015-11-02,2015-11-02,1.61,3424,82,
ID-Android-App_Engagement,2015-10-24,2015-10-24,23.15,46750,769,8
ID-Android-App_Engagement,2015-10-23,2015-10-23,27.42,48895,830,2
ID-Android-App_Engagement,2015-10-25,2015-10-25,23.66,49914,737,7
ID-Android-App_Engagement,2015-10-26,2015-10-26,26.45,49713,854,11
ID-Android-App_Engagement,2015-10-29,2015-10-29,23.19,40335,735,9
ID-Android-App_Engagement,2015-10-28,2015-10-28,26.25,44968,784,7
ID-Android-App_Engagement,2015-10-27,2015-10-27,26.3,50547,832,8
